Standing screen display size,Screen Resolution,Max Screen Resolution,Brand,Item model number,Item Weight,Unit,Item Weight in Kg,Length(In),Width(In),Height(In),Item Dimensions  LxWxH,Color,Manufacturer,ASIN,Country of Origin,Date First Available,Price,Series,Is Discontinued By Manufacturer,Voltage,RAM,Processor Count,Computer Memory Type,Department,Customer Reviews,Power Source,Package Dimensions,Best Sellers Rank,Assembled Height,Assembled Length,Assembled Width,Style,Material,Number of Lights,Special Features,Shade Material,Switch Style,Switch Installation Type,Batteries Included?,Batteries Required?,Type of Bulb,Luminous Flux,Wattage,Processor,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Graphics Card Ram Size,Wireless Type,Hardware Platform,Operating System,Rear Webcam Resolution,Processor Brand,Flash Memory Size,Hard Drive Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Batteries,Material Type,Size,Manufacturer Part Number,Average Battery Life (in hours),Language,Number of Items,Other display features,Colour,Card Description,Hard Drive Rotational Speed,National Stock Number,Ink Color,Brand Name,Color Name,Device interface - primary,Included Components,Total Recycled Content Percentage,Post-Consumer Recycled Content Percentage,Part Number,Item Package Quantity,Battery Cell Type,Display Type,Warranty,Optical Drive Type,Scanner Resolution,Connectivity technologies,Domestic Shipping,International Shipping,Display Style,Usage,Warranty Description
24 Inches,,1920x1080 Pixels,Sceptre,E248W-1920,11.2,pounds,5.04,22.68,7.56,16.73,22.68 x 7.56 x 16.73 inches,New Black 2019,Sceptre Inc.,B00QSUMKYA,,10-Dec-14,$188.99 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.52,pounds,1.584,,,,,,ELECROW,B092CL2J56,,,$159.99 ,,,,,,,,13-Apr-21,,14.96 x 9.84 x 2.36 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Inches,,1920 x 1080 Pixels,Acer,SB230 Bbix,4.88,pounds,2.196,20.9,8.3,15.8,20.9 x 8.3 x 15.8 inches,Black,Acer,B07KQV19LH,,15-Dec-18,$269.00 ,SB230 Bbix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,156FC,1.7,pounds,0.765,14.3,8.8,0.4,,,IVV,B083HQYBN9,,,$169.99 ,,,,,,,,7-Jan-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7inch HDMI LCD (H) Display with case,14.4,ounces,0.288,,,,,,Waveshare,B0894Q5VH3,China,,$73.99 ,,,,,,,,17-May-20,,10.2 x 5.9 x 2.4 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FA1014-NP/C,3.6,pounds,1.62,9.84,6.69,1.26,,,,B00T3H2G1M,,,$195.00 ,,LILLIPUT,,,,,,No,,,2-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,Full HD (1920 x 1080),Acer,XB273 Xbmiprzx,13.7,pounds,6.165,24.2,9.3,18,24.2 x 9.3 x 18 inches,Black,Acer,B087GCYTLL,,27-Apr-20,$670.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,,,ILooker,MH01-32P-Black,2.53,pounds,1.1385,29.13,1.57,9.06,29.13 x 1.57 x 9.06 inches,Orange,iLooker,B01G159CRE,,23-May-16,$99.90 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920x1080 Pixels,Sceptre,E248W-1920,11.2,pounds,5.04,22.68,7.56,16.73,22.68 x 7.56 x 16.73 inches,New Black 2019,Sceptre Inc.,B00QSUMKYA,,10-Dec-14,$188.99 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.52,pounds,1.584,,,,,,ELECROW,B092CL2J56,,,$159.99 ,,,,,,,,13-Apr-21,,14.96 x 9.84 x 2.36 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Inches,,1920 x 1080 Pixels,Acer,SB230 Bbix,4.88,pounds,2.196,20.9,8.3,15.8,20.9 x 8.3 x 15.8 inches,Black,Acer,B07KQV19LH,,15-Dec-18,$269.00 ,SB230 Bbix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MG156-UT01,5.21,pounds,2.3445,14.21,9.02,0.24,,,Magedok,B08Z77MRS8,,,$399.00 ,,,,,,,,17-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,156FC,1.7,pounds,0.765,14.3,8.8,0.4,,,IVV,B083HQYBN9,,,$169.99 ,,,,,,,,7-Jan-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FA1014-NP/C,3.6,pounds,1.62,9.84,6.69,1.26,,,,B00T3H2G1M,,,$195.00 ,,LILLIPUT,,,,,,No,,,2-Feb-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E1LG27GN650B,16.3,pounds,7.335,24.2,11.5,22.7,,,LG,B091GKWYP3,,,$296.99 ,,,,,,,,11-Oct-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AN-156W04K,1.76,pounds,0.792,14.17,8.86,0.39,,,Anmite,B07RD1G2KK,China,,$298.00 ,,,,,,,,No,,,3-May-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920 x 1080 pixels,1920 x 1080,MSI,Modern MD241P,10.36,pounds,4.662,24.12,17.98,8.65,24.12 x 17.98 x 8.65 inches,Black,MSI COMPUTER,B096H8SZ6V,China,2-Jun-21,$169.99 ,Modern MD241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70501,1.48,pounds,0.666,,,,,,BASENSE,B07Q1N6WHT,,,$56.99 ,,,,,,,,19-Mar-19,,8.43 x 5.83 x 3.46 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 CR2 batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Inches,,,JUN-ELECTRON,,10.6,ounces,0.212,6.5,3.94,1.18,6.5 x 3.94 x 1.18 inches,7 inch Screen,Jun-Electron,B07QKSSQ66,,24-Jan-19,$65.59 ,,No,5 Volts,,,,,,,,,,,,,,,,,,,,,,,,cortex,,,,,,,PC,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3509,9.1,ounces,0.182,3.46,2.99,0.47,,,JniTyOpt,B0931Z7MX5,,,$30.99 ,,,,,,,,21-Apr-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,$324.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Inches,,3840 x 2160 Pixels,Dell,S2817Q,11.1,pounds,4.995,25.9,7.3,18.53,25.9 x 7.3 x 18.53 inches,,"Dell Marketing USA, LP",B01BBOC16O,,18-Feb-16,$613.00 ,FBA_S2817Q,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Lithium ion batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18.26,pounds,8.217,,,,,,AOC International,B0971LG1PL,,,$299.99 ,,,,,,,,10-Jun-21,,35.2 x 18.4 x 8.7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CG279X,22,pounds,9.9,25.12,2.73,15.35,,,,B07H8R9DGY,,EIZO,"$2,426.00 ",,Mens,,,,,,No,,,28-Jul-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IVPM004,4.95,pounds,2.2275,13.98,8.86,0.43,,,InnoView,B096LSWJM9,China,,$699.99 ,,4-Jun-21,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13.4,ounces,0.268,7.09,4.92,0.91,,,ELECROW,B081PMJ4XT,,,$88.99 ,,,,,,,,18-Nov-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,2560 x 1440 Pixels,Sceptre,E275B-QPD168,13.44,pounds,6.048,24.37,20.25,9.09,24.37 x 20.25 x 9.09 inches,Black,Sceptre,B097G21FHC,China,17-Jun-21,$299.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 Inches,,,Targus,ASF19WUSZ,2.4,ounces,0.048,0.12,14.8,11.9,0.12 x 14.8 x 11.9 inches,,Tragus,B000XVOOVC,China,26-Oct-07,$62.73 ,,No,,,,,Accessories general,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Inches,,,Kuman,SC7B,12.6,ounces,0.252,8.4,5.9,2.1,8.4 x 5.9 x 2.1 inches,Raspberry pi screen,,B01F3801A2,,,$62.99 ,Kuman 7 Inch Capacitive Touch Screen IPS LCD Display HDMI Module 1024x600 f,,,,,SDRAM,,3-May-16,,,,,,,,,,,,,,,,,,,,,4 GB,,,,,,Raspberry Pi 4 B 3 2 1 B B+ A with BB Black PC Various Systems,,,,USB 2.0/3.0,,,,,,,,,,,,Dedicated,4 RPM,,,,,,,,,,,,,,,,,,,,,
,,,,MDS-156F20,1.6,pounds,0.72,15.63,10.59,24.8,,,EVICIV,B095BXSQWV,,,$199.99 ,,,,,,,,No,,,19-May-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70501,1.48,pounds,0.666,,,,,,BASENSE,B07Q1N6WHT,,,$56.99 ,,,,,,,,19-Mar-19,,8.43 x 5.83 x 3.46 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 CR2 batteries required. (included),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920x1080 Pixels,Dell,D2719HGF,11.45,pounds,5.1525,24.15,17.35,7.74,24.15 x 17.35 x 7.74 inches,Black,"Dell Marketing USA, LP",B07J4SXNQ5,,2-Oct-18,$499.00 ,,No,120240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,2560 x 1440 Pixels,ASUS,XG279Q-G,15.43,pounds,6.9435,24.06,16.61,10.63,24.06 x 16.61 x 10.63 inches,WHITE,Asus,B093Z9SJDV,China,1-Jun-21,$699.99 ,XG279Q-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.98,pounds,0.891,,,,,,iLooker,B08NXR4VLQ,,,$99.90 ,,,,,,,,20-Nov-20,,25.79 x 9.06 x 1.57 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.76,pounds,2.592,,,,,,China OEM,B094XY8S47,,,$599.00 ,,,,,,,,14-May-21,,16.94 x 11.9 x 3.47 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9.5,ounces,0.19,,,,,,Aenoko,B07Y5FFKGB,,,$42.99 ,,,,,,,,20-Sep-19,,21.93 x 13.5 x 0.24 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MDS-156F20,1.6,pounds,0.72,15.63,10.59,24.8,,,EVICIV,B095BXSQWV,,,$199.99 ,,,,,,,,No,,,19-May-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M140A,1.32,pounds,0.594,12.73,7.76,0.24,,,Magedok,B08QYXLJ5H,,,$299.00 ,,,,,,,,18-Dec-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.6,ounces,0.112,0.35,0.2,0.12,,,CUQI,B0936R564K,,,$27.99 ,,,,,,,,22-Apr-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,2560x1440,2560 x 1440,Nixeus,NX-VUE27C,18,pounds,8.1,25,0.5,19,25 x 0.5 x 19 inches,Black,Nixeus,B08927DRJ6,China,22-May-20,$249.99 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11.2,ounces,0.224,4.76,3.07,0.55,,,Jun-Electron,B082F3K84X,,,$55.59 ,,,,,,,,5-Dec-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,pounds,13.05,,,,,,,B08JV2W5PD,,,$699.00 ,,,,,,,,23-Sep-20,,35.8 x 23.6 x 8.7 inches,Lenovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920x1080 Pixels,Dell,D2719HGF,11.45,pounds,5.1525,24.15,17.35,7.74,24.15 x 17.35 x 7.74 inches,Black,"Dell Marketing USA, LP",B07J4SXNQ5,,2-Oct-18,$499.00 ,,No,120240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920 x 1080 Pixels,Dell,S2419HGF,10.82,pounds,4.869,21.76,7.05,19.72,21.76 x 7.05 x 19.72 inches,Black,Dell Computers,B07MB7WT39,,1-Jan-19,$305.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,pounds,4.05,22.8,9.8,6.3,,,WELL WENG,B07PW96NTV,,,$33.99 ,,,,,,,,20-Mar-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,,MSI,Optix G27C5,14.47,pounds,6.5115,17.98,24.07,8.65,17.98 x 24.07 x 8.65 inches,Black,MSI COMPUTER,B089ZQKYRN,,17-Apr-20,$319.73 ,Optix G27C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.98,pounds,0.891,,,,,,iLooker,B08NXR4VLQ,,,$99.90 ,,,,,,,,20-Nov-20,,25.79 x 9.06 x 1.57 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T156B,1.4,pounds,0.63,12.99,9.45,1.97,,,TOPOSH,B091Z1HVTZ,,,$159.99 ,,,,,,,,7-Apr-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,"2,560 x 1,440 Pixels",SAMSUNG,LS27AG500PNXZA,13.4,pounds,6.03,9.7,24.2,22.5,9.7 x 24.2 x 22.5 inches,Black,Samsung,B096YMQ3C8,China,25-Jul-21,$499.38 ,AG500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3M,MS100B,4.14,pounds,1.863,26.75,9.75,1.5,,,3M,B091QCK5ZF,,,$51.15 ,,,,,,,,5-Apr-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS100B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
23 Inches,,,ILooker,MH01-23E-Black,1.48,pounds,0.666,22.44,1.57,8.27,22.44 x 1.57 x 8.27 inches,Black,iLooker,B01G1593F0,,23-May-16,$64.90 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.59,pounds,1.1655,,,,,,,B089YTCV92,,,$69.99 ,,,,,,,,10-Jun-20,,11.2 x 7.3 x 3.8 inches,Yasoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.34,pounds,1.953,,,,,,Dasung,B07GWGFW1B,,,"$1,025.00 ",,,,,,,,No,,15 x 12.5 x 4 inches,7-Sep-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9.5,ounces,0.19,,,,,,Aenoko,B07Y5FFKGB,,,$42.99 ,,,,,,,,20-Sep-19,,21.93 x 13.5 x 0.24 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,,3M,HC240W1B,9.8,ounces,0.196,0.2,14.5,21.75,0.2 x 14.5 x 21.75 inches,High Clairty,スリーエム(3M),B06Y667NL6,USA,12-Apr-17,$115.99 ,High Clarity Privacy Filter,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.59,pounds,1.1655,,,,,,,B089YTCV92,,,$69.99 ,,,,,,,,10-Jun-20,,11.2 x 7.3 x 3.8 inches,Yasoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Inches,,1366x768,DoubleSight Displays,DS-12UT,2.59,pounds,1.1655,14,11,3,14 x 11 x 3 inches,Black,Doublesight Displays,B07QDKM6LH,"Korea, Republic of",17-May-19,$231.55 ,6GW933,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11.2,ounces,0.224,4.76,3.07,0.55,,,Jun-Electron,B082F3K84X,,,$55.59 ,,,,,,,,5-Dec-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5.6,ounces,0.112,0.35,0.2,0.12,,,CUQI,B0936R564K,,,$27.99 ,,,,,,,,22-Apr-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Inches,,1920 x 1080,Dell,S2340L,8.62,pounds,3.879,15,7,20,15 x 7 x 20 inches,,Dell Computers,B00A6WZW6E,,13-Nov-12,$264.59 ,,No,240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7025-01-626-8282', '7025-01-626-8282",,,,,,,,,,,,,,,,,,,,
,,,,XZX5B01,1.56,pounds,0.702,4.8,4.17,0.31,,,CUIUIC,B098XQQP19,China,,$68.99 ,,,,,,,,8-Jul-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MG156-UT01,5.21,pounds,2.3445,14.21,9.02,0.24,,,Magedok,B08Z77MRS8,,,$399.00 ,,,,,,,,17-Mar-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,OF-T35,10.28,pounds,4.626,,,,,,,B07ZZYS7D1,,China,$49.95 ,,,,,,,,4-Nov-19,,15.5 x 11.3 x 4.5 inches,TechOrbits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Kensington,K60089,4.4,pounds,1.98,2.3,12.6,16.2,,Gray,#N/A!,B000A2AHUG,,,$36.11 ,,No,,,,,,7-Jul-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ys/m,K60089,,,1,,,,,,Black,,,,,,,,,,,,,,,,,,,
24 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,Eizo,EV2456FX-BK,12.54,pounds,5.643,3.94,3.94,3.94,3.94 x 3.94 x 3.94 inches,,EIZO,B01N7JSBBC,,28-Jul-15,$489.99 ,FlexScan,No,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Inches,,,MUBUY-GOL,,7,ounces,0.14,,,,,,MUBUY-GOL,B07PSBHZL3,,18-May-19,$22.99 ,,,,,,,,,,12.44 x 2.95 x 2.87 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Inches,,,Kuman,SC7J-7inch-US,14.4,ounces,0.288,6.69,4.72,0.79,6.69 x 4.72 x 0.79 inches,7 inch Raspberry pi screen,Kuman,B01FFAFMM0,,10-May-16,$59.99 ,,No,12 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7inch HDMI LCD (H) Display with Case,1.06,pounds,0.477,,,,,,Ingcool,B08YY75J5Z,,,$73.99 ,,,,,,,,15-Mar-21,,8.94 x 5.71 x 2.24 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAMAMS-1,4.49,pounds,2.0205,8,20.5,3,,,Mammoth,B07Q983665,,,$45.00 ,,,,,,,,1-Apr-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.85,pounds,0.8325,,,,,,Mosiso,B08XYNJ2FX,,,$35.99 ,,,,,,,,4-Mar-21,,22.9 x 14.9 x 1.4 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Inches,,1366x768,DoubleSight Displays,DS-12UT,2.59,pounds,1.1655,14,11,3,14 x 11 x 3 inches,Black,Doublesight Displays,B07QDKM6LH,"Korea, Republic of",17-May-19,$231.55 ,6GW933,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Inches,,1920 x 1080,Dell,S2340L,8.62,pounds,3.879,15,7,20,15 x 7 x 20 inches,,Dell Computers,B00A6WZW6E,,13-Nov-12,$264.59 ,,No,240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7025-01-626-8282', '7025-01-626-8282",,,,,,,,,,,,,,,,,,,,
24 Inches,,,3M,HC240W1B,9.8,ounces,0.196,0.2,14.5,21.75,0.2 x 14.5 x 21.75 inches,High Clairty,スリーエム(3M),B06Y667NL6,USA,12-Apr-17,$115.99 ,High Clarity Privacy Filter,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ATMS046,4.33,pounds,1.9485,14.57,9.06,5.51,,,ATUMTEK,B08G8MK47R,China,,$30.99 ,,,,,,,,19-Aug-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080,Acer,XF273 Zbmiiprx,16.27,pounds,7.3215,24.2,9.2,17.5,24.2 x 9.2 x 17.5 inches,Black,Acer,B095X4T1XY,China,21-Jun-21,$399.99 ,XF273 Zbmiiprx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,2560 x 1440,Monoprice,142107,20.6,pounds,9.27,32.5,7.4,21.3,32.5 x 7.4 x 21.3 inches,Black,Monoprice,B08Q69X962,China,9-Dec-20,$299.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AN-156W02D,1.76,pounds,0.792,14.17,8.86,0.39,,,Anmite,B07RDYLTXX,China,,$258.00 ,,,,,,,,No,,,3-May-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020003100,6.4,ounces,0.128,4.8,3,0.3,,,shenzhen vership Co. LTD,B08HV9P6KV,,,$49.99 ,,,,,,,,11-Sep-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AF-AT-P,6,pounds,2.7,23.23,3.94,9.06,,,,B07FSWQK5V,China,,$107.88 ,,No,,,,,,12-Jul-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atdec,Silver/Polished,,,,,,,,,,,,,,,,,
,,,,AN-156W04K,1.76,pounds,0.792,14.17,8.86,0.39,,,Anmite,B07RD1G2KK,China,,$298.00 ,,,,,,,,No,,,3-May-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R7H-STB,1.49,pounds,0.6705,8.6,6.3,2.3,,,Gewbot,B08RS1754H,China,,$72.99 ,,31-Dec-20,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CC-TS12,3.09,pounds,1.3905,11.61,9.45,1.57,,,Cocar,B075CJDGX6,China,,$167.99 ,,,,,,,,No,,,10-Aug-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
